"Sample","Species_T","Genera_T","Family_T","Species_F","Genera_F","Family_F","Method","Spp_No","Gen_No","Fam_No","NO_Genus","NO_Species","Species_false","Sp_Acc","Gen_Acc","Sp_Sens"
3,1,2,5,9,6,1,"BLAST",6,5,5,NA,10,9,10,20,16.6666666666667
4,1,3,3,9,4,0,"BLAST",4,3,3,NA,10,9,10,30,25
6,3,4,4,7,4,0,"BLAST",5,4,4,NA,10,7,30,40,60
9,3,4,4,7,3,0,"BLAST",6,5,4,NA,10,7,30,40,50
10,4,4,4,6,5,2,"BLAST",5,5,5,NA,10,6,40,40,80
12,1,2,5,9,6,1,"BLAST",7,7,7,NA,10,9,10,20,14.2857142857143
14,4,7,5,6,0,0,"BLAST",7,7,5,NA,10,6,40,70,57.1428571428571
15,2,2,4,8,8,1,"BLAST",5,5,4,NA,10,8,20,20,40
17,3,6,5,7,1,0,"BLAST",7,7,5,NA,10,7,30,60,42.8571428571429
18,2,3,4,8,5,2,"BLAST",5,5,5,NA,10,8,20,30,40
19,3,4,4,7,4,0,"BLAST",5,5,4,NA,10,7,30,40,60
20,4,5,6,6,2,0,"BLAST",6,6,6,NA,10,6,40,50,66.6666666666667
21,4,5,6,6,3,0,"BLAST",6,6,6,NA,10,6,40,50,66.6666666666667
23,2,4,4,8,4,0,"BLAST",6,4,4,NA,10,8,20,40,33.3333333333333
24,4,4,4,6,3,0,"BLAST",4,4,4,NA,10,6,40,40,100
25,4,4,4,6,4,0,"BLAST",4,4,4,NA,10,6,40,40,100
26,3,3,3,7,4,0,"BLAST",4,4,4,NA,10,7,30,30,75
27,3,4,4,7,3,0,"BLAST",5,4,4,NA,10,7,30,40,60
28,1,1,3,9,6,0,"BLAST",3,3,3,NA,10,9,10,10,33.3333333333333
29,1,5,7,9,3,1,"BLAST",8,8,8,NA,10,9,10,50,12.5
30,2,4,4,8,1,0,"BLAST",4,4,4,NA,10,8,20,40,50
31,6,7,6,4,0,0,"BLAST",8,7,6,NA,10,4,60,70,75
32,1,2,4,9,6,0,"BLAST",4,4,4,NA,10,9,10,20,25
33,2,6,7,9,3,0,"BLAST",9,7,7,NA,11,9,18.1818181818182,54.5454545454545,22.2222222222222
35,3,5,5,7,3,0,"BLAST",7,6,6,NA,10,7,30,50,42.8571428571429
36,3,5,6,7,3,0,"BLAST",6,6,6,NA,10,7,30,50,50
39,3,4,4,7,4,0,"BLAST",5,4,4,NA,10,7,30,40,60
40,3,7,5,7,0,0,"BLAST",7,7,5,NA,10,7,30,70,42.8571428571429
41,1,3,3,9,4,3,"BLAST",3,3,3,NA,10,9,10,30,33.3333333333333
42,1,5,6,9,3,0,"BLAST",7,7,6,NA,10,9,10,50,14.2857142857143
43,4,5,4,6,2,1,"BLAST",6,6,5,NA,10,6,40,50,66.6666666666667
44,5,6,5,5,0,0,"BLAST",7,6,5,NA,10,5,50,60,71.4285714285714
46,2,3,5,8,3,0,"BLAST",5,5,5,NA,10,8,20,30,40
49,2,5,5,8,3,0,"BLAST",5,5,5,NA,10,8,20,50,40
51,2,5,5,8,3,0,"BLAST",6,5,5,NA,10,8,20,50,33.3333333333333
52,3,5,5,7,2,1,"BLAST",8,7,6,NA,10,7,30,50,37.5
55,2,4,4,8,1,0,"BLAST",5,4,4,NA,10,8,20,40,40
56,3,4,4,7,4,0,"BLAST",5,5,4,NA,10,7,30,40,60
60,4,7,6,6,0,0,"BLAST",8,8,7,NA,10,6,40,70,50
65,4,5,6,6,2,0,"BLAST",7,6,6,NA,10,6,40,50,57.1428571428571
3,2,2,4,8,6,2,"COMP",6,5,5,4,6,4,33.3333333333333,20,33.3333333333333
4,2,3,3,8,6,2,"COMP",4,3,3,5,5,3,40,30,50
6,4,4,4,6,4,0,"COMP",5,4,4,4,6,2,66.6666666666667,40,80
