site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,plant.species,abun.rank,notes
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Androsace.septentrionalis,4,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Claytonia.lanceolata,1,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Erythronium.grandiflorum,4,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Mertensia.fusiformis,2,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Ranunculus.inamoenus,3,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Taraxacum.officinale,4,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,aspen,a,Viola.praemorsa,3,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,dry,d,Androsace.septentrionalis,4,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,dry,d,Claytonia.lanceolata,2,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,dry,d,Mertensia.fusiformis,1,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,dry,d,Ranunculus.inamoenus,4,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,dry,d,Taraxacum.officinale,4,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,dry,d,Viola.praemorsa,3,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,wet,w,Claytonia.lanceolata,1,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,wet,w,Mertensia.fusiformis,2,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,wet,w,Taraxacum.officinale,2,rank estimated
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,wet,w,Viola.praemorsa,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Carex.sp,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Claytonia.lanceolata,1,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Erythronium.grandiflorum,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Hydrophyllum.capitatum,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Mertensia.fusiformis,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Ranunculus.inamoenus,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,Viola.praemorsa,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Androsace.septentrionalis,7,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Claytonia.lanceolata,4,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Delphinium.nuttallianum,3,rank estimated
