site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll,pollen.load,pollen.collected,notes,nest.search.fl.abun,nest.search.substrate,fl.switch.1,fl.switch.1.resource.coll,fl.switch.2,fl.switch.2.resource.coll,fl.switch.3,fl.switch.3.resource.coll,fl.switch.4,fl.switch.4.resource.coll
Avery.Wash,AW,2015,21-May-15,141,2,JEO,1:35:00 pm,2:55:00 pm,80,cloudy.warm,aspen,a,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,,,,,
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,4:08:00 pm,5:08:00 pm,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Mertensia.fusiformis,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,4:08:00 pm,5:08:00 pm,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Mertensia.fusiformis,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,4:08:00 pm,5:08:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,,yes,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,,yes,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,,no,,,,,,,,,,,,
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,,no,,,,,,,,,,,,
