Bee,Order,Family,Genus,Method,%,Species1,Species1correct
Appositus,Lamiales,Lamiaceae,Agastache,Field,0.006,2,1
Appositus,Lamiales,Lamiaceae,Agastache,Molecular,0.028,2,1
Appositus,Ranunculales,Ranunculaceae,Aquilegia,Field,0.006,2,1
Appositus,Ranunculales,Ranunculaceae,Aquilegia,Molecular,0.004,2,1
Appositus,Ranunculales,Ranunculaceae,Delphinium,Field,0.685,3,2
Appositus,Ranunculales,Ranunculaceae,Delphinium,Microscope,0.814,3,2
Appositus,Ranunculales,Ranunculaceae,Delphinium,Molecular,0.746,3,2
Appositus,Myrtales,Onagraceae,Epilobium,Molecular,0.055,1,1
Appositus,Asterales,Asteraceae,Erigeron,Field,0.006,2,1
Appositus,Asterales,Asteraceae,Erigeron,Microscope,0.002,2,1
Appositus,Asterales,Asteraceae,Erigeron,Molecular,0.01,2,1
Appositus,Gentianales,Gentianaceae,Frasera,Field,0.062,1,1
Appositus,Asterales,Asteraceae,Helianthella,Field,0.022,1,1
Appositus,Asterales,Asteraceae,Helianthella,Microscope,0.002,1,1
Appositus,Boraginales,Boraginaceae,Hydrophyllum,Field,0.022,2,1
Appositus,Boraginales,Boraginaceae,Hydrophyllum,Molecular,0.034,2,1
Appositus,Fabales,Fabaceae,Lathyrus,Field,0.039,1,1
Appositus,Fabales,Fabaceae,Lupinus,Field,0.034,1,1
Appositus,Fabales,Fabaceae,Lupinus,Molecular,0.005,1,1
Appositus,Boraginales,Boraginaceae,Mertensia,Field,0.006,2,1
Appositus,Boraginales,Boraginaceae,Mertensia,Microscope,0.001,2,1
Appositus,Boraginales,Boraginaceae,Mertensia,Molecular,0.021,2,1
Appositus,Lamiales,Orobanchaceae,Pedicularis,Field,0.017,2,1
Appositus,Lamiales,Orobanchaceae,Pedicularis,Microscope,0.122,2,1
Appositus,Asterales,Asteraceae,Symphyotrichum,Molecular,0.021,1,1
Appositus,Asterales,Asteraceae,Taraxacum,Microscope,0,1,1
Appositus,Asterales,Asteraceae,Taraxacum,Molecular,0.008,1,1
Appositus,Fabales,Fabaceae,Vicia,Field,0.067,1,1
Appositus,Fabales,Fabaceae,Vicia,Microscope,0.058,1,1
Appositus,Fabales,Fabaceae,Vicia,Molecular,0.01,1,1
bifarius,Boraginales,Boraginaceae,Cynoglossum,Molecular,0.03,1,1
bifarius,Myrtales,Onagraceae,Epilobium,Molecular,0.036,1,1
bifarius,Rosales,Rosaceae,Geum,Field,0.007,2,1
bifarius,Rosales,Rosaceae,Geum,Microscope,0.035,1,1
bifarius,Rosales,Rosaceae,Geum,Molecular,0.001,2,1
