"","binomial","occurrence","n"
"1","Acer_glabrum",0,759
"2","Acer_glabrum",1,759
"3","Acer_negundo",0,410
"4","Acer_negundo",1,410
"5","Achillea_millefolium",0,892
"6","Achillea_millefolium",1,892
"7","Aconitum_columbianum",0,843
"8","Aconitum_columbianum",1,843
"9","Actaea_rubra",0,440
"10","Actaea_rubra",1,440
"11","Agastache_urticifolia",0,63
"12","Agastache_urticifolia",1,63
"13","Agoseris_aurantiaca",0,334
"14","Agoseris_aurantiaca",1,334
"15","Agoseris_glauca",0,115
"16","Agoseris_glauca",1,115
"17","Allium_brandegeei",0,21
"18","Allium_brandegeei",1,21
"19","Allium_geyeri",0,292
"20","Allium_geyeri",1,292
"21","Amelanchier_alnifolia",0,809
"22","Amelanchier_alnifolia",1,809
"23","Amelanchier_utahensis",0,253
"24","Amelanchier_utahensis",1,253
"25","Anaphalis_margaritacea",0,274
"26","Anaphalis_margaritacea",1,274
"27","Androsace_septentrionalis",0,991
"28","Androsace_septentrionalis",1,991
"29","Anemone_multifida",0,168
"30","Anemone_multifida",1,168
"31","Angelica_ampla",0,27
"32","Angelica_ampla",1,27
"33","Angelica_grayi",0,61
"34","Angelica_grayi",1,61
"35","Antennaria_corymbosa",0,33
"36","Antennaria_corymbosa",1,33
"37","Antennaria_media",0,47
"38","Antennaria_media",1,47
"39","Antennaria_microphylla",0,338
"40","Antennaria_microphylla",1,338
"41","Antennaria_parvifolia",0,221
"42","Antennaria_parvifolia",1,221
"43","Antennaria_rosea",0,262
"44","Antennaria_rosea",1,262
"45","Anticlea_elegans",0,389
"46","Anticlea_elegans",1,389
"47","Aquilegia_chrysantha",0,29
"48","Aquilegia_chrysantha",1,29
"49","Aquilegia_coerulea",0,941
"50","Aquilegia_coerulea",1,941
"51","Aquilegia_elegantula",0,416
"52","Aquilegia_elegantula",1,416
"53","Arctium_minus",0,130
"54","Arctium_minus",1,130
"55","Arnica_chamissonis",0,38
"56","Arnica_chamissonis",1,38
"57","Arnica_cordifolia",0,331
"58","Arnica_cordifolia",1,331
"59","Arnica_latifolia",0,37
"60","Arnica_latifolia",1,37
"61","Arnica_mollis",0,86
"62","Arnica_mollis",1,86
"63","Arnica_parryi",0,68
"64","Arnica_parryi",1,68
"65","Artemisia_cana",0,56
"66","Artemisia_cana",1,56
"67","Artemisia_dracunculus",0,193
"68","Artemisia_dracunculus",1,193
"69","Artemisia_ludoviciana",0,511
"70","Artemisia_ludoviciana",1,511
"71","Artemisia_scopulorum",0,85
"72","Artemisia_scopulorum",1,85
"73","Astragalus_alpinus",0,165
"74","Astragalus_alpinus",1,165
"75","Astragalus_tenellus",0,42
"76","Astragalus_tenellus",1,42
"77","Barbarea_vulgaris",0,47
"78","Barbarea_vulgaris",1,47
"79","Berberis_repens",0,956
"80","Berberis_repens",1,956
"81","Bistorta_bistortoides",0,458
"82","Bistorta_bistortoides",1,458
"83","Bistorta_vivipara",0,199
"84","Bistorta_vivipara",1,199
"85","Boechera_stricta",0,80
"86","Boechera_stricta",1,80
"87","Brickellia_grandiflora",0,151
"88","Brickellia_grandiflora",1,151
"89","Calochortus_gunnisonii",0,970
"90","Calochortus_gunnisonii",1,970
"91","Campanula_parryi",0,127
"92","Campanula_parryi",1,127
"93","Campanula_rotundifolia",0,880
"94","Campanula_rotundifolia",1,880
"95","Cardamine_cordifolia",0,868
"96","Cardamine_cordifolia",1,868
"97","Carum_carvi",0,13
"98","Carum_carvi",1,13
"99","Castilleja_linariifolia",0,435
"100","Castilleja_linariifolia",1,435
"101","Castilleja_miniata",0,350
"102","Castilleja_miniata",1,350
"103","Castilleja_occidentalis",0,304
"104","Castilleja_occidentalis",1,304
"105","Castilleja_sulphurea",0,138
"106","Castilleja_sulphurea",1,138
"107","Cerastium_arvense",0,461
"108","Cerastium_arvense",1,461
"109","Cerastium_beeringianum",0,59
"110","Cerastium_beeringianum",1,59
"111","Chaenactis_douglasii",0,379
"112","Chaenactis_douglasii",1,379
"113","Chenopodium_atrovirens",0,25
"114","Chenopodium_atrovirens",1,25
"115","Chenopodium_berlandieri",0,53
"116","Chenopodium_berlandieri",1,53
"117","Cirsium_clavatum",0,19
"118","Cirsium_clavatum",1,19
"119","Cirsium_scariosum",0,65
"120","Cirsium_scariosum",1,65
"121","Claytonia_lanceolata",0,106
"122","Claytonia_lanceolata",1,106
"123","Claytonia_megarhiza",0,222
"124","Claytonia_megarhiza",1,222
"125","Collinsia_parviflora",0,222
"126","Collinsia_parviflora",1,222
"127","Collomia_linearis",0,256
"128","Collomia_linearis",1,256
"129","Conioselinum_scopulorum",0,67
"130","Conioselinum_scopulorum",1,67
"131","Cornus_sericea",0,174
"132","Cornus_sericea",1,174
"133","Corydalis_caseana",0,101
"134","Corydalis_caseana",1,101
"135","Cynoglossum_officinale",0,531
"136","Cynoglossum_officinale",1,531
"137","Cystopteris_fragilis",0,168
"138","Cystopteris_fragilis",1,168
"139","Cystopteris_reevesiana",0,38
"140","Cystopteris_reevesiana",1,38
"141","Dasiphora_fruticosa",0,820
"142","Dasiphora_fruticosa",1,820
"143","Delphinium_barbeyi",0,316
"144","Delphinium_barbeyi",1,316
"145","Delphinium_nuttallianum",0,690
"146","Delphinium_nuttallianum",1,690
"147","Delphinium_occidentale",0,63
"148","Delphinium_occidentale",1,63
"149","Delphinium_ramosum",0,38
"150","Delphinium_ramosum",1,38
"151","Descurainia_incana",0,25
"152","Descurainia_incana",1,25
"153","Draba_albertina",0,35
"154","Draba_albertina",1,35
"155","Draba_aurea",0,115
"156","Draba_aurea",1,115
"157","Draba_crassa",0,14
"158","Draba_crassa",1,14
"159","Draba_crassifolia",0,38
"160","Draba_crassifolia",1,38
"161","Draba_exunguiculata",0,22
"162","Draba_exunguiculata",1,22
"163","Draba_fladnizensis",0,11
"164","Draba_fladnizensis",1,11
"165","Draba_lonchocarpa",0,12
"166","Draba_lonchocarpa",1,12
"167","Draba_oligosperma",0,14
"168","Draba_oligosperma",1,14
"169","Draba_spectabilis",0,36
"170","Draba_spectabilis",1,36
"171","Draba_streptobrachia",0,12
