"TAXON","FAMILY","Sample","GENUS","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","DATE","Condition","TAXON_NEW","MANUAL","TAXON_NEW2"
"Scabrethia scabra","Asteraceae",42,"Scabrethia",1444,64982,2.22215382721369,165,"A","Scabrethia scabra",FALSE,"Scabrethia scabra"
"Scabrethia scabra","Asteraceae",52,"Scabrethia",2788,134754,2.06895528147587,163,"A","Scabrethia scabra",FALSE,"Scabrethia scabra"
"Scabrethia scabra","Asteraceae",54,"Scabrethia",1770,47385,3.73535929091485,190,"A","Scabrethia scabra",FALSE,"Scabrethia scabra"
"Mertensia ciliata","Boraginaceae",10,"Mertensia",3261,71086,4.58740117604029,165,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Lupinus sericeus","Fabaceae",10,"Lupinus",2346,71086,3.30022789297471,165,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum fendleri","Hydrophyllaceae",12,"Hydrophyllum",12368,59478,20.7942432496049,186,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Hydrophyllum fendleri","Hydrophyllaceae",14,"Hydrophyllum",11717,69233,16.9240102263372,165,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Hydrophyllum capitatum","Hydrophyllaceae",14,"Hydrophyllum",8250,69233,11.9162826975575,165,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Mertensia ciliata","Boraginaceae",14,"Mertensia",812,69233,1.17285109702021,165,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum fendleri","Hydrophyllaceae",15,"Hydrophyllum",2213,74768,2.95982238390755,165,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus sericeus","Fabaceae",17,"Lupinus",131686,484682,27.1695668500171,154,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Lupinus sericeus","Fabaceae",18,"Lupinus",58766,595570,9.86718605705459,166,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Mertensia ciliata","Boraginaceae",18,"Mertensia",31354,595570,5.26453649445069,166,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum capitatum","Hydrophyllaceae",19,"Hydrophyllum",22933,154482,14.8450952214497,169,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Hydrophyllum fendleri","Hydrophyllaceae",19,"Hydrophyllum",11233,154482,7.27139731489753,169,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus sericeus","Fabaceae",19,"Lupinus",1129,154482,0.730829481751919,169,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Mertensia ciliata","Boraginaceae",20,"Mertensia",15152,49733,30.4666921360063,165,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum fendleri","Hydrophyllaceae",20,"Hydrophyllum",3119,49733,6.27148975529327,165,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus sericeus","Fabaceae",20,"Lupinus",947,49733,1.90416825850039,165,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum fendleri","Hydrophyllaceae",21,"Hydrophyllum",17841,28613,62.3527767098871,165,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Hydrophyllum capitatum","Hydrophyllaceae",21,"Hydrophyllum",987,28613,3.44948100513753,165,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Lupinus sericeus","Fabaceae",21,"Lupinus",341,28613,1.19176598049837,165,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Delphinium nuttallianum","Ranunculaceae",23,"Delphinium",11475,66778,17.1838030489083,165,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Delphinium nuttallianum","Ranunculaceae",24,"Delphinium",3219,11984,26.8608144192256,163,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Dasiphora fruticosa","Rosaceae",24,"Dasiphora",150,11984,1.25166889185581,163,"A","Dasiphora fruticosa",FALSE,"Dasiphora fruticosa"
"Delphinium nuttallianum","Ranunculaceae",25,"Delphinium",14397,54231,26.5475466061847,163,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Dasiphora fruticosa","Rosaceae",25,"Dasiphora",257,54231,0.473898692629677,163,"A","Dasiphora fruticosa",FALSE,"Dasiphora fruticosa"
"Delphinium nuttallianum","Ranunculaceae",26,"Delphinium",108982,388389,28.0600119982801,165,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Hydrophyllum capitatum","Hydrophyllaceae",26,"Hydrophyllum",2375,388389,0.611500325704384,165,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Delphinium nuttallianum","Ranunculaceae",27,"Delphinium",16430,58087,28.2851584691928,166,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Lupinus sericeus","Fabaceae",27,"Lupinus",368,58087,0.633532459930793,166,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum capitatum","Hydrophyllaceae",27,"Hydrophyllum",360,58087,0.619760015149689,166,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Delphinium nuttallianum","Ranunculaceae",28,"Delphinium",19779,71828,27.5366152475358,166,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Delphinium nuttallianum","Ranunculaceae",29,"Delphinium",12449,202110,6.15951709465143,166,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Delphinium nuttallianum","Ranunculaceae",3,"Delphinium",3310,16943,19.5360916012513,172,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Lupinus sericeus","Fabaceae",3,"Lupinus",161,16943,0.950244938912825,172,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Delphinium nuttallianum","Ranunculaceae",30,"Delphinium",16705,283698,5.88830375963172,155,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Lupinus argenteus","Fabaceae",31,"Lupinus",3404,12850,26.4902723735409,201,"A","Lupinus argenteus",FALSE,"Lupinus argenteus"
"Lupinus sericeus","Fabaceae",31,"Lupinus",2490,12850,19.3774319066148,201,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Vicia americana","Fabaceae",31,"Vicia",657,12850,5.11284046692607,201,"A","Vicia americana",FALSE,"Vicia americana"
"Delphinium barbeyi","Ranunculaceae",31,"Delphinium",599,12850,4.66147859922179,201,"A","Delphinium barbeyi",FALSE,"Delphinium barbeyi"
"Campanula rotundifolia","Campanulaceae",31,"Campanula",201,12850,1.56420233463035,201,"A","Campanula rotundifolia",FALSE,"Campanula rotundifolia"
"Delphinium nuttallianum","Ranunculaceae",32,"Delphinium",36104,134997,26.7442980214375,170,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Delphinium nuttallianum","Ranunculaceae",33,"Delphinium",46,199,23.1155778894472,166,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Mertensia ciliata","Boraginaceae",33,"Mertensia",14,199,7.03517587939699,166,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum fendleri","Hydrophyllaceae",33,"Hydrophyllum",5,199,2.51256281407035,166,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Delphinium nuttallianum","Ranunculaceae",35,"Delphinium",52577,186141,28.2457921683025,170,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Dasiphora fruticosa","Rosaceae",35,"Dasiphora",1633,186141,0.877291945353254,170,"A","Dasiphora fruticosa",FALSE,"Dasiphora fruticosa"
"Delphinium nuttallianum","Ranunculaceae",36,"Delphinium",14672,58361,25.1400764208975,173,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Lupinus sericeus","Fabaceae",36,"Lupinus",7133,58361,12.2222031836329,173,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum fendleri","Hydrophyllaceae",36,"Hydrophyllum",3881,58361,6.64998886242525,173,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Mertensia ciliata","Boraginaceae",36,"Mertensia",1915,58361,3.28130086873083,173,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
