Taxon,Family,Herb.,Accession,Pres.,Country,State,County,Date,Coordinates,Collector
Mertensia ciliata (James ex Torr.) G. Don,Boraginaceae,ID,175485,silica-dried,U.S.A.,Idaho,Valley,18.VI.2018,"44.78127, -115.86435","McCauley, S. 18-6"
Mertensia ciliata (James ex Torr.) G. Don,Boraginaceae,ID,169837,press-dried,U.S.A.,Idaho,Adams,10.VII.2014,"44.59248, -116.25575","Gilman, I. 2014-73, Tank, D., Latvis, M.,  Jacobs, S.J. "
Hydrophyllum fendleri (Gray) Heller,Hydrophyllaceae,ID,161100,press-dried,U.S.A.,Washington,Yakima,9.VI.2008,"46.72399, -120.9893","Knoke, D. 1576"
Hydrophyllum fendleri (Gray) Heller,Hydrophyllaceae,ID,164040,press-dried,U.S.A.,Idaho,Idaho,27.V.2009,"45.43327, -115.67027","Davidson, C. 11359"
Delphinium nuttallianum Pritz.,Ranunculaceae,ID,166462,press-dried,U.S.A.,Idaho,Gem,15.VI.2011,"44.21694, 116.23361","Smith, J.F. 9594"
Delphinium nuttallianum Pritz.,Ranunculaceae,ID,179376,press-dried,U.S.A.,Idaho,Gooding,29.IV.2017,"43.11083, -114.67861","Boyd, J. 14"
Lupinus bakeri Greene,Fabaceae,IDS,10387,press-dried,U.S.A.,Colorado,Gunnison,29.VI.2010,"38.95633, -106.99018","Williams, C.F. 2010-96"
Lupinus bakeri Greene,Fabaceae,IDS,10142,press-dried,U.S.A.,Colorado,Gunnison,15.VIII.2010,"38.98149, -106.99477","Williams, C.F. 2010-369.1"
Mertensia fusiformis Greene,Boraginaceae,RM,720522,press-dried,U.S.A.,Colorado,Gunnison,7.VI.1997,"38.5798, -106.8114","Taylor, K.J. 1070"
Mertensia fusiformis Greene,Boraginaceae,RM,720600,press-dried,U.S.A.,Colorado,Gunnison,9.VI.1997,"38.609, -106.9569","Taylor, K.J. 427"
Hydrophyllum capitatum Douglas ex. Benth,Hydrophyllaceae,RM,tba,press-dried,U.S.A.,Colorado,Mesa,30.VI.2011,"39.3638, -107.5256","Kirkpatrick, M. K. 6836"
Hydrophyllum capitatum Douglas ex. Benth,Hydrophyllaceae,RM,tba,press-dried,U.S.A.,Colorado,Delta,8.VI.2011,"38.9585, -107.7431","Brummer, L.E. 3693"
Frasera speciosa Douglas ex Griseb,Gentianaceae,RM,721930,press-dried,U.S.A.,Colorado,Gunnison,20.VI.1997,"38.5103, -107.4918","Taylor, K.J. 1783"
Frasera speciosa Douglas ex Griseb,Gentianaceae,RM,719305,press-dried,U.S.A.,Colorado,Gunnison,7.VII.1997,"38.8516, -107.1728","Taylor, K.J. 2578"
Vicia americana Muhl. ex Willd.,Fabaceae,CHIC,22996,silica-dried,U.S.A.,Colorado,Gunnison,18.VII.2020,"38.94202, -107.0249","Benkendorf, R.C. 2209"
Vicia americana Muhl. ex Willd. var. minor Hook.,Fabaceae,CHIC,22956,silica-dried,U.S.A.,Montana,Carbon,4.VII.2019,"45.20711, 108.80000","Benkendorf, R.C. 2071"
