"",".id","reads"
"1","10_S118",75282
"2","12_S119",71601
"3","14_S97",88200
"4","15_S120",86866
"5","17_S99",539450
"6","18_S121",726110
"7","19_S122",185883
"8","20_S100",68309
"9","21_S101",40533
"10","23_S123",90138
"11","24_S103",13921
"12","25_S104",69117
"13","26_S105",526251
"14","27_S106",72604
"15","28_S107",87409
"16","29_S108",453583
"17","3_S117",17321
"18","30_S109",464526
"19","31_S124",344644
"20","32_S110",178440
"21","35_S128",258891
"22","36_S112",88963
"23","38_S113",183883
"24","39_S114",134187
"25","4_S93",214374
"26","40_S125",866874
"27","41_S126",718692
"28","42_S134",79749
"29","43_S115",172746
"30","44_S116",310051
"31","46_S136",991715
"32","49_S129",71426
"33","51_S130",64538
"34","52_S137",169491
"35","54_S138",52378
"36","55_S131",670794
"37","56_S139",275292
"38","6_S95",86262
"39","60_S132",262326
"40","65_S133",183482
"41","9_S98",104466
