"sample.id","name","Genus","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","Rank","Family","Order"
"10","Agastache pallidiflora","Agastache",10119,71086,14.2348704386236,"species","Lamiaceae","Lamiaceae"
"10","Mertensia fusiformis","Mertensia",3718,71086,5.23028444419436,"species","Boraginaceae","Boraginaceae"
"10","Mertensia ciliata","Mertensia",3261,71086,4.58740117604029,"species","Boraginaceae","Boraginaceae"
"10","Lupinus argenteus","Lupinus",2970,71086,4.17803786962271,"species","Fabaceae","Fabaceae"
"10","Taraxacum officinale","Taraxacum",2728,71086,3.83760515432012,"species","Asteraceae","Asteraceae"
"10","Lupinus sericeus","Lupinus",2346,71086,3.30022789297471,"species","Fabaceae","Fabaceae"
"12","Hydrophyllum fendleri","Hydrophyllum",12368,59478,20.7942432496049,"species","Hydrophyllaceae","Hydrophyllaceae"
"12","Agastache pallidiflora","Agastache",1339,59478,2.25125256397323,"species","Lamiaceae","Lamiaceae"
"12","Taraxacum officinale","Taraxacum",1009,59478,1.69642556911799,"species","Asteraceae","Asteraceae"
"14","Hydrophyllum fendleri","Hydrophyllum",11717,69233,16.9240102263372,"species","Hydrophyllaceae","Hydrophyllaceae"
"14","Hydrophyllum capitatum","Hydrophyllum",8250,69233,11.9162826975575,"species","Hydrophyllaceae","Hydrophyllaceae"
"14","Taraxacum officinale","Taraxacum",1671,69233,2.41358889546892,"species","Asteraceae","Asteraceae"
"14","Mertensia fusiformis","Mertensia",1469,69233,2.12182051911661,"species","Boraginaceae","Boraginaceae"
"14","Lupinus argenteus","Lupinus",1058,69233,1.52817298109283,"species","Fabaceae","Fabaceae"
"14","Mertensia ciliata","Mertensia",812,69233,1.17285109702021,"species","Boraginaceae","Boraginaceae"
"14","Chamaenerion angustifolium","Chamaenerion",664,69233,0.959080207415539,"species","Onagraceae","Onagraceae"
"15","Taraxacum officinale","Taraxacum",10424,74768,13.9417932805478,"species","Asteraceae","Asteraceae"
"15","Hydrophyllum fendleri","Hydrophyllum",2213,74768,2.95982238390755,"species","Hydrophyllaceae","Hydrophyllaceae"
"17","Lupinus argenteus","Lupinus",182233,484682,37.5984666234768,"species","Fabaceae","Fabaceae"
"17",NA,NA,137873,484682,28.4460739206325,"species",NA,NA
"17","Lupinus sericeus","Lupinus",131686,484682,27.1695668500171,"species","Fabaceae","Fabaceae"
"17","Taraxacum officinale","Taraxacum",4575,484682,0.943917867797855,"species","Asteraceae","Asteraceae"
"18","Lupinus argenteus","Lupinus",115509,595570,19.3946975166647,"species","Fabaceae","Fabaceae"
"18","Mertensia fusiformis","Mertensia",100038,595570,16.7970179827728,"species","Boraginaceae","Boraginaceae"
"18",NA,NA,61187,595570,10.2736873919103,"species",NA,NA
"18","Lupinus sericeus","Lupinus",58766,595570,9.86718605705459,"species","Fabaceae","Fabaceae"
"18","Mertensia ciliata","Mertensia",31354,595570,5.26453649445069,"species","Boraginaceae","Boraginaceae"
"19","Hydrophyllum capitatum","Hydrophyllum",22933,154482,14.8450952214497,"species","Hydrophyllaceae","Hydrophyllaceae"
"19","Hydrophyllum fendleri","Hydrophyllum",11233,154482,7.27139731489753,"species","Hydrophyllaceae","Hydrophyllaceae"
"19","Lupinus argenteus","Lupinus",1789,154482,1.15806372263435,"species","Fabaceae","Fabaceae"
"19","Chamaenerion angustifolium","Chamaenerion",1412,154482,0.914022345645447,"species","Onagraceae","Onagraceae"
"19",NA,NA,1185,154482,0.767079659766186,"species",NA,NA
"19","Lupinus sericeus","Lupinus",1129,154482,0.730829481751919,"species","Fabaceae","Fabaceae"
"20","Mertensia fusiformis","Mertensia",15244,49733,30.6516799710454,"species","Boraginaceae","Boraginaceae"
"20","Mertensia ciliata","Mertensia",15152,49733,30.4666921360063,"species","Boraginaceae","Boraginaceae"
"20","Lupinus argenteus","Lupinus",3852,49733,7.74536022359399,"species","Fabaceae","Fabaceae"
"20","Hydrophyllum fendleri","Hydrophyllum",3119,49733,6.27148975529327,"species","Hydrophyllaceae","Hydrophyllaceae"
"20","Lupinus sericeus","Lupinus",947,49733,1.90416825850039,"species","Fabaceae","Fabaceae"
"20","Taraxacum officinale","Taraxacum",703,49733,1.41354834817928,"species","Asteraceae","Asteraceae"
"21","Hydrophyllum fendleri","Hydrophyllum",17841,28613,62.3527767098871,"species","Hydrophyllaceae","Hydrophyllaceae"
"21","Hydrophyllum capitatum","Hydrophyllum",987,28613,3.44948100513753,"species","Hydrophyllaceae","Hydrophyllaceae"
"21","Lupinus argenteus","Lupinus",466,28613,1.62863034285115,"species","Fabaceae","Fabaceae"
"21","Lupinus sericeus","Lupinus",341,28613,1.19176598049837,"species","Fabaceae","Fabaceae"
"21","Taraxacum officinale","Taraxacum",332,28613,1.16031174640897,"species","Asteraceae","Asteraceae"
"21","Mertensia fusiformis","Mertensia",290,28613,1.01352532065844,"species","Boraginaceae","Boraginaceae"
"22","Lupinus argenteus","Lupinus",4,32,12.5,"species","Fabaceae","Fabaceae"
"22","Mertensia ciliata","Mertensia",2,32,6.25,"species","Boraginaceae","Boraginaceae"
"22","Lupinus sericeus","Lupinus",2,32,6.25,"species","Fabaceae","Fabaceae"
"22","Hydrophyllum fendleri","Hydrophyllum",2,32,6.25,"species","Hydrophyllaceae","Hydrophyllaceae"
"22","Mertensia fusiformis","Mertensia",1,32,3.125,"species","Boraginaceae","Boraginaceae"
"24","Taraxacum officinale","Taraxacum",430,11984,3.58811748998665,"species","Asteraceae","Asteraceae"
"24","Dasiphora fruticosa","Dasiphora",150,11984,1.25166889185581,"species","Rosaceae","Rosaceae"
"25","Taraxacum officinale","Taraxacum",464,54231,0.85559919603179,"species","Asteraceae","Asteraceae"
"25","Dasiphora fruticosa","Dasiphora",257,54231,0.473898692629677,"species","Rosaceae","Rosaceae"
"26","Taraxacum officinale","Taraxacum",8434,388389,2.17153420925927,"species","Asteraceae","Asteraceae"
"26","Hydrophyllum capitatum","Hydrophyllum",2375,388389,0.611500325704384,"species","Hydrophyllaceae","Hydrophyllaceae"
"27","Lupinus argenteus","Lupinus",429,58087,0.738547351386713,"species","Fabaceae","Fabaceae"
"27","Lupinus sericeus","Lupinus",368,58087,0.633532459930793,"species","Fabaceae","Fabaceae"
"27","Hydrophyllum capitatum","Hydrophyllum",360,58087,0.619760015149689,"species","Hydrophyllaceae","Hydrophyllaceae"
"29","Agastache pallidiflora","Agastache",50577,202110,25.0244916134778,"species","Lamiaceae","Lamiaceae"
"29","Lupinus argenteus","Lupinus",3647,202110,1.80446291623373,"species","Fabaceae","Fabaceae"
"29","Helianthella quinquenervis","Helianthella",2908,202110,1.4388204443125,"species","Asteraceae","Asteraceae"
"3","Lupinus sericeus","Lupinus",161,16943,0.950244938912825,"species","Fabaceae","Fabaceae"
"3","Lupinus argenteus","Lupinus",115,16943,0.678746384937732,"species","Fabaceae","Fabaceae"
"30","Lupinus argenteus","Lupinus",60731,283698,21.4069186247348,"species","Fabaceae","Fabaceae"
"31","Agastache pallidiflora","Agastache",10119,71086,14.2348704386236,"species","Lamiaceae","Lamiaceae"
"31","Mertensia fusiformis","Mertensia",3718,71086,5.23028444419436,"species","Boraginaceae","Boraginaceae"
"31","Mertensia ciliata","Mertensia",3261,71086,4.58740117604029,"species","Boraginaceae","Boraginaceae"
"31","Lupinus argenteus","Lupinus",2970,71086,4.17803786962271,"species","Fabaceae","Fabaceae"
"31","Taraxacum officinale","Taraxacum",2728,71086,3.83760515432012,"species","Asteraceae","Asteraceae"
"31","Cirsium parryi","Cirsium",2435,71086,3.42542835438764,"species","Asteraceae","Asteraceae"
"31","Lupinus sericeus","Lupinus",2346,71086,3.30022789297471,"species","Fabaceae","Fabaceae"
"32","Hydrophyllum fendleri","Hydrophyllum",12368,59478,20.7942432496049,"species","Hydrophyllaceae","Hydrophyllaceae"
"32","Agastache pallidiflora","Agastache",1339,59478,2.25125256397323,"species","Lamiaceae","Lamiaceae"
"32","Taraxacum officinale","Taraxacum",1009,59478,1.69642556911799,"species","Asteraceae","Asteraceae"
"33","Hydrophyllum fendleri","Hydrophyllum",11717,69233,16.9240102263372,"species","Hydrophyllaceae","Hydrophyllaceae"
"33","Hydrophyllum capitatum","Hydrophyllum",8250,69233,11.9162826975575,"species","Hydrophyllaceae","Hydrophyllaceae"
"33","Taraxacum officinale","Taraxacum",1671,69233,2.41358889546892,"species","Asteraceae","Asteraceae"
"33","Mertensia fusiformis","Mertensia",1469,69233,2.12182051911661,"species","Boraginaceae","Boraginaceae"
"33","Lupinus argenteus","Lupinus",1058,69233,1.52817298109283,"species","Fabaceae","Fabaceae"
"33","Mertensia ciliata","Mertensia",812,69233,1.17285109702021,"species","Boraginaceae","Boraginaceae"
"33","Chamaenerion angustifolium","Chamaenerion",664,69233,0.959080207415539,"species","Onagraceae","Onagraceae"
"35","Taraxacum officinale","Taraxacum",10424,74768,13.9417932805478,"species","Asteraceae","Asteraceae"
"35","Hydrophyllum fendleri","Hydrophyllum",2213,74768,2.95982238390755,"species","Hydrophyllaceae","Hydrophyllaceae"
"36","Lupinus argenteus","Lupinus",182233,484682,37.5984666234768,"species","Fabaceae","Fabaceae"
"36",NA,NA,137873,484682,28.4460739206325,"species",NA,NA
"36","Lupinus sericeus","Lupinus",131686,484682,27.1695668500171,"species","Fabaceae","Fabaceae"
"36","Mertensia ciliata","Mertensia",5704,484682,1.17685410227737,"species","Boraginaceae","Boraginaceae"
