"site","date","species","caste","sample.id","morphotype","sum"
"Copper.Creek","2015-07-14","appositus","q",1,"C",336
"Gothic.Spires","2015-07-09","appositus","q",2,"C",6
"Gothic.Spires","2015-07-09","appositus","q",2,"ASTERACEAE_1",56
"Stormy.Pass","2015-06-21","appositus","q",3,"C",2707
"Stormy.Pass","2015-06-21","appositus","q",3,"CONIFER",5
"Stormy.Pass","2015-06-21","appositus","q",3,"ASTERACEAE_2",1
"Stormy.Pass","2015-06-21","appositus","q",3,"MERTENSIA",1
"Rosy.Hills","2015-06-14","appositus","q",4,"C",5403
"Rosy.Hills","2015-06-14","appositus","q",4,"D",2
"Rosy.Hills","2015-06-14","appositus","q",4,"UNKNOWN",4
"Stormy.Pass","2015-06-21","appositus","q",5,"C",1130
"Stormy.Pass","2015-06-21","appositus","q",5,"CONIFER",2
"Stormy.Pass","2015-06-21","appositus","q",5,"UNKNOWN",1
"Stormy.Pass","2015-06-21","appositus","q",5,"MERTENSIA",1
"Stormy.Pass","2015-06-21","appositus","q",5,"D",1
"Stormy.Pass","2015-06-22","appositus","q",6,"C",1584
"Stormy.Pass","2015-06-22","appositus","q",6,"UNKNOWN",2
"Stormy.Pass","2015-06-22","appositus","q",6,"MERTENSIA",3
"Stormy.Pass","2015-06-22","appositus","q",6,"B",1
"Avery.Wash","2015-07-02","appositus","q",7,"C",9860
"Avery.Wash","2015-07-02","appositus","q",7,"B",64
"Avery.Wash","2015-07-02","appositus","q",7,"D",2
"Avery.Wash","2015-07-02","appositus","q",7,"CONIFER",5
"Avery.Wash","2015-07-02","appositus","q",7,"MERTENSIA",1
"Avery.Wash","2015-07-02","appositus","q",7,"ASTERACEAE_1",2
"Avery.Wash","2015-07-02","appositus","q",7,"UNKNOWN",1
"Avery.Wash","2015-07-02","appositus","q",8,"C",279
"Avery.Wash","2015-07-02","appositus","q",8,"B",1344
"Avery.Wash","2015-07-02","appositus","q",8,"MERTENSIA",22
"Avery.Wash","2015-07-02","appositus","q",8,"UNKNOWN",2
"Avery.Wash","2015-07-02","appositus","q",8,"CONIFER",4
"Avery.Wash","2015-07-02","appositus","q",8,"ASTERACEAE_1",11
"Avery.Wash","2015-07-02","appositus","q",8,"PEDICULARIS",1
"Stormy.Pass","2015-06-25","appositus","q",9,"C",1514
"Stormy.Pass","2015-06-25","appositus","q",9,"B",234
"Stormy.Pass","2015-06-25","appositus","q",9,"UNKNOWN",4
"Stormy.Pass","2015-06-25","appositus","q",9,"MERTENSIA",2
"Stormy.Pass","2015-06-25","appositus","q",9,"CONIFER",5
"Copper.Creek","2015-06-14","appositus","q",10,"PEDICULARIS",3453
"Copper.Creek","2015-06-14","appositus","q",10,"C",163
"Copper.Creek","2015-06-14","appositus","q",10,"UNKNOWN",1
"Copper.Creek","2015-06-14","appositus","q",10,"MERTENSIA",1
"Avery.Wash","2015-07-08","appositus","w",11,"B",1034
"Avery.Wash","2015-07-08","appositus","w",11,"C",7
"Avery.Wash","2015-07-08","appositus","w",11,"UNKNOWN",5
"Avery.Wash","2015-07-08","appositus","w",11,"MERTENSIA",6
"Avery.Wash","2015-07-08","appositus","w",11,"A",1
"Gothic.Spires","2019-07-05","bifarius","w",12,"C",1402
"Gothic.Spires","2019-07-05","bifarius","w",12,"UNKNOWN",206
"Gothic.Spires","2019-07-05","bifarius","w",12,"ASTERACEAE_1",1
"Gothic.Spires","2019-07-05","bifarius","w",12,"MERTENSIA",175
"Copper.Creek","2015-06-14","bifarius","q",13,"ROSACEAE",603
"Copper.Creek","2015-06-14","bifarius","q",13,"ASTERACEAE_2",11
"Copper.Creek","2015-06-14","bifarius","q",13,"C",1
"Copper.Creek","2015-06-14","bifarius","q",13,"MERTENSIA",16
"Copper.Creek","2015-06-14","bifarius","q",13,"UNKNOWN",0
"Gothic.Spires","2015-06-14","bifarius","q",14,"C",3352
"Gothic.Spires","2015-06-14","bifarius","q",14,"MERTENSIA",114
"Gothic.Spires","2015-06-14","bifarius","q",14,"ASTERACEAE_2",27
"Gothic.Spires","2015-06-14","bifarius","q",14,"D",1
"Gothic.Spires","2015-06-14","bifarius","q",14,"ASTERACEAE_1",1
"Gothic.Spires","2015-06-14","bifarius","q",14,"UNKNOWN",2
"Gothic.Spires","2015-06-14","bifarius","q",14,"CONIFER",2
"Gothic.Spires","2015-06-14","bifarius","q",15,"ASTERACEAE_2",584
"Gothic.Spires","2015-06-14","bifarius","q",15,"A",158
"Gothic.Spires","2015-06-14","bifarius","q",15,"UNKNOWN",49
"Gothic.Spires","2015-06-14","bifarius","q",15,"GROSSULARIACEAE",46
"Gothic.Spires","2015-06-14","bifarius","q",15,"C",35
"Gothic.Spires","2015-06-14","bifarius","q",15,"MERTENSIA",6
"Gothic.Spires","2015-06-14","bifarius","q",15,"ASTERACEAE_1",1
"Gothic.Spires","2015-06-14","bifarius","q",15,"CONIFER",1
"Rosy.Hills","2015-06-20","bifarius","q",16,"UNKNOWN",93
"Rosy.Hills","2015-06-20","bifarius","q",16,"C",216
"Frogs.Pond","2015-06-03","bifarius","w",17,"A",1147
"Frogs.Pond","2015-06-03","bifarius","w",17,"C",8
"Frogs.Pond","2015-06-03","bifarius","w",17,"MERTENSIA",2
"Frogs.Pond","2015-06-03","bifarius","w",17,"ASTERACEAE_2",9
"Frogs.Pond","2015-06-03","bifarius","w",17,"ASTERACEAE_1",3
"Frogs.Pond","2015-06-15","bifarius","q",18,"C",72
"Frogs.Pond","2015-06-15","bifarius","q",18,"A",577
"Frogs.Pond","2015-06-15","bifarius","q",18,"MERTENSIA",2487
"Frogs.Pond","2015-06-15","bifarius","q",18,"ERICACEAE",64
"Frogs.Pond","2015-06-15","bifarius","q",18,"UNKNOWN",16
"Frogs.Pond","2015-06-15","bifarius","q",18,"ASTERACEAE_1",11
"Frogs.Pond","2015-06-15","bifarius","q",18,"D",4
"Frogs.Pond","2015-06-18","bifarius","q",19,"C",1136
"Frogs.Pond","2015-06-18","bifarius","q",19,"A",14
"Frogs.Pond","2015-06-18","bifarius","q",19,"MERTENSIA",90
"Frogs.Pond","2015-06-18","bifarius","q",19,"ASTERACEAE_1",1
"Frogs.Pond","2015-06-18","bifarius","q",19,"UNKNOWN",2
"Frogs.Pond","2015-06-18","bifarius","q",19,"D",2
"Frogs.Pond","2015-06-18","bifarius","q",19,"ERICACEAE",2
"Avery.Wash","2015-06-14","bifarius","q",20,"MERTENSIA",2258
"Avery.Wash","2015-06-14","bifarius","q",20,"UNKNOWN",3
"Avery.Wash","2015-06-14","bifarius","q",20,"C",128
"Avery.Wash","2015-06-14","bifarius","q",20,"ASTERACEAE_2",5
"Gothic.Spires","2015-06-14","bifarius","q",21,"C",2707
"Gothic.Spires","2015-06-14","bifarius","q",21,"ASTERACEAE_2",11
"Gothic.Spires","2015-06-14","bifarius","q",21,"MERTENSIA",7
"Gothic.Spires","2015-06-14","bifarius","q",21,"UNKNOWN",5
NA,"2015-06-15","bifarius","q",22,"C",1843
NA,"2015-06-15","bifarius","q",22,"A",228
NA,"2015-06-15","bifarius","q",22,"UNKNOWN",7
NA,"2015-06-15","bifarius","q",22,"MERTENSIA",30
NA,"2015-06-15","bifarius","q",22,"ASTERACEAE_2",1
"Copper.Creek","2015-06-14","californicus","q",23,"C",1534
"Copper.Creek","2015-06-14","californicus","q",23,"UNKNOWN",3
"Copper.Creek","2015-06-14","californicus","q",23,"A",1
"Copper.Creek","2015-06-14","californicus","q",23,"MERTENSIA",2
"Copper.Creek","2015-06-12","californicus","q",24,"C",3685
"Copper.Creek","2015-06-12","californicus","q",24,"UNKNOWN",1
"Copper.Creek","2015-06-12","californicus","q",24,"ASTERACEAE_2",3
"Copper.Creek","2015-06-12","californicus","q",24,"A",1
"Copper.Creek","2015-06-12","californicus","q",24,"MERTENSIA",2
"Copper.Creek","2015-06-12","californicus","q",25,"C",2611
"Copper.Creek","2015-06-12","californicus","q",25,"ASTERACEAE_2",18
"Copper.Creek","2015-06-12","californicus","q",25,"UNKNOWN",1
"Copper.Creek","2015-06-14","californicus","q",26,"C",865
"Copper.Creek","2015-06-14","californicus","q",26,"MERTENSIA",1090
"Copper.Creek","2015-06-14","californicus","q",26,"UNKNOWN",5
"Copper.Creek","2015-06-14","californicus","q",26,"ASTERACEAE_2",15
"Copper.Creek","2015-06-14","californicus","q",26,"ERICACEAE",2
"Copper.Creek","2015-06-14","californicus","q",26,"B",1
"Copper.Creek","2015-06-14","californicus","q",26,"A",2
"Copper.Creek","2015-06-15","californicus","q",27,"C",1875
"Copper.Creek","2015-06-15","californicus","q",27,"A",14
"Copper.Creek","2015-06-15","californicus","q",27,"UNKNOWN",1
"Copper.Creek","2015-06-15","californicus","q",27,"MERTENSIA",1
"Copper.Creek","2015-06-15","californicus","q",28,"C",1099
"Copper.Creek","2015-06-15","californicus","q",28,"UNKNOWN",1
"Copper.Creek","2015-06-15","californicus","q",29,"C",746
"Copper.Creek","2015-06-15","californicus","q",29,"ONAGRACEAE",1
"Gothic.Spires","2015-06-04","californicus","q",30,"C",1084
"Gothic.Spires","2015-06-04","californicus","q",30,"ONAGRACEAE",1
"Gothic.Spires","2015-06-04","californicus","q",30,"ASTERACEAE_2",1
"Gothic.Spires","2015-06-04","californicus","q",30,"UNKNOWN",1
"Rosy.Hills","2015-07-20","flavifrons","w",31,"A",421
"Rosy.Hills","2015-07-20","flavifrons","w",31,"CONIFER",4
"Rosy.Hills","2015-07-20","flavifrons","w",31,"UNKNOWN",1
"Rosy.Hills","2015-07-20","flavifrons","w",31,"B",1
"Avery.Wash","2015-06-19","flavifrons","q",32,"C",1564
"Avery.Wash","2015-06-19","flavifrons","q",32,"ASTERACEAE_2",1
"Avery.Wash","2015-06-19","flavifrons","q",32,"UNKNOWN",1
"Avery.Wash","2015-06-19","flavifrons","q",32,"MERTENSIA",2
