"","Sample","loci","n"
"1","10","4471",9
"2","10","4527",395
"3","10","4691",152
"4","10","4724",61
"5","10","4744",99
"6","10","4757",351
"7","10","4793",67
"8","10","4796",268
"9","10","4802",353
"10","10","4806",114
"11","10","4848",109
"12","10","4889",78
"13","10","4890",3
"14","10","4893",275
"15","10","4932",40
"16","10","4942",102
"17","10","4951",156
"18","10","4954",224
"19","10","4989",405
"20","10","4992",126
"21","10","5018",270
"22","10","5032",328
"23","10","5034",26
"24","10","5038",71
"25","10","5104",139
"26","10","5116",234
"27","10","5123",281
"28","10","5131",111
"29","10","5138",26
"30","10","5162",343
"31","10","5163",429
"32","10","5168",6
"33","10","5177",101
"34","10","5188",836
"35","10","5200",7
"36","10","5206",233
"37","10","5220",7
"38","10","5257",210
"39","10","5260",36
"40","10","5264",128
"41","10","5271",2
"42","10","5273",367
"43","10","5280",44
"44","10","5296",2
"45","10","5299",15
"46","10","5304",3
"47","10","5318",7
"48","10","5326",76
"49","10","5328",673
"50","10","5333",76
"51","10","5335",328
"52","10","5339",470
"53","10","5343",6
"54","10","5348",457
"55","10","5355",164
"56","10","5357",2
"57","10","5366",88
"58","10","5398",345
"59","10","5404",175
"60","10","5406",423
"61","10","5421",11
"62","10","5422",100
"63","10","5426",305
"64","10","5427",284
"65","10","5428",1
"66","10","5430",22
"67","10","5434",3
"68","10","5449",196
"69","10","5454",367
"70","10","5460",415
"71","10","5463",224
"72","10","5464",199
"73","10","5469",305
"74","10","5489",479
"75","10","5502",56
"76","10","5513",14
"77","10","5528",283
"78","10","5531",1
"79","10","5536",465
"80","10","5554",678
"81","10","5562",7
"82","10","5578",9
"83","10","5594",46
"84","10","5596",245
"85","10","5599",526
"86","10","5614",625
"87","10","5620",120
"88","10","5634",26
"89","10","5639",52
"90","10","5644",34
"91","10","5656",1
"92","10","5664",615
"93","10","5670",2
"94","10","5699",164
"95","10","5702",111
"96","10","5703",2
"97","10","5716",428
"98","10","5721",59
"99","10","5733",236
"100","10","5744",46
"101","10","5770",191
"102","10","5772",65
"103","10","5791",1
"104","10","5802",1
"105","10","5815",48
"106","10","5816",1867
"107","10","5821",101
"108","10","5822",4
"109","10","5840",297
"110","10","5841",23
"111","10","5842",4
"112","10","5843",1
"113","10","5849",42
"114","10","5853",17
"115","10","5857",6
"116","10","5858",48
"117","10","5859",7
"118","10","5865",495
"119","10","5866",4
"120","10","5870",243
"121","10","5893",11
"122","10","5894",120
"123","10","5899",293
"124","10","5910",184
"125","10","5913",227
"126","10","5919",58
"127","10","5921",694
"128","10","5922",74
"129","10","5926",5
"130","10","5933",1
"131","10","5936",6
"132","10","5940",202
"133","10","5941",652
"134","10","5942",80
"135","10","5943",261
"136","10","5944",150
"137","10","5945",189
"138","10","5950",97
"139","10","5958",3
"140","10","5960",354
"141","10","5968",3752
"142","10","5974",54
"143","10","5977",227
"144","10","5980",190
"145","10","5981",6
"146","10","5990",258
"147","10","6000",162
"148","10","6003",3
"149","10","6004",6
"150","10","6016",391
"151","10","6026",73
"152","10","6029",84
"153","10","6034",41
"154","10","6036",236
"155","10","6038",329
"156","10","6041",254
"157","10","6048",1
"158","10","6050",3
"159","10","6051",127
"160","10","6056",86
"161","10","6068",3
"162","10","6098",391
"163","10","6110",695
"164","10","6114",2
"165","10","6119",194
"166","10","6128",9457
"167","10","6130",194
"168","10","6139",52
"169","10","6148",2
"170","10","6164",268
"171","10","6175",324
"172","10","6176",18
"173","10","6198",254
"174","10","6221",1
"175","10","6226",184
"176","10","6227",3
"177","10","6238",12
"178","10","6258",233
"179","10","6265",189
"180","10","6270",57
"181","10","6274",3
"182","10","6282",5
"183","10","6284",51
"184","10","6295",24
"185","10","6298",10
"186","10","6299",110
"187","10","6303",1
"188","10","6318",428
"189","10","6320",205
"190","10","6363",119
"191","10","6366",153
"192","10","6373",5
"193","10","6376",18
"194","10","6383",742
"195","10","6384",124
"196","10","6387",305
"197","10","6389",33
"198","10","6393",70
"199","10","6398",1
"200","10","6401",55
"201","10","6404",190
"202","10","6405",287
"203","10","6406",243
"204","10","6407",34
"205","10","6412",3
"206","10","6420",7
"207","10","6439",116
"208","10","6447",2255
"209","10","6448",192
"210","10","6449",78
"211","10","6450",374
"212","10","6454",15
"213","10","6457",375
"214","10","6458",266
"215","10","6459",39
"216","10","6460",5
"217","10","6462",2
"218","10","6483",543
"219","10","6487",565
"220","10","6488",79
"221","10","6492",7
"222","10","6494",50
"223","10","6496",1
"224","10","6500",75
"225","10","6506",93
"226","10","6507",136
"227","10","6527",323
"228","10","6528",29
"229","10","6532",118
"230","10","6533",125
"231","10","6538",1
"232","10","6540",45
"233","10","6544",1739
"234","10","6550",1
"235","10","6552",126
"236","10","6557",93
"237","10","6559",184
"238","10","6563",167
"239","10","6565",1
"240","10","6570",23
"241","10","6572",46
"242","10","6620",234
"243","10","6631",1
"244","10","6636",29
"245","10","6639",100
"246","10","6641",35
"247","10","6652",165
"248","10","6660",230
"249","10","6667",9
"250","10","6679",132
"251","10","6685",104
"252","10","6689",13
"253","10","6705",119
"254","10","6713",84
"255","10","6717",167
"256","10","6732",175
"257","10","6733",62
"258","10","6738",120
"259","10","6746",109
"260","10","6779",136
"261","10","6780",6
"262","10","6782",6
"263","10","6785",69
"264","10","6791",63
"265","10","6792",190
"266","10","6797",673
"267","10","6825",352
"268","10","6848",214
"269","10","6854",147
"270","10","6859",47
"271","10","6860",12
"272","10","6864",4
"273","10","6865",6
"274","10","6875",73
"275","10","6882",54
"276","10","6883",169
"277","10","6909",36
"278","10","6913",667
"279","10","6914",133
"280","10","6924",132
"281","10","6933",77
"282","10","6946",11
"283","10","6947",579
"284","10","6954",3
"285","10","6961",11
"286","10","6968",46
"287","10","6969",171
"288","10","6977",137
"289","10","6978",30
"290","10","6979",75
"291","10","6992",149
"292","10","6995",55
"293","10","7013",57
"294","10","7021",70
"295","10","7024",19
"296","10","7028",208
"297","10","7029",170
"298","10","7067",70
"299","10","7111",46
"300","10","7128",426
"301","10","7135",22
"302","10","7141",39
"303","10","7174",130
"304","10","7194",260
"305","10","7241",176
"306","10","7273",1
"307","10","7279",2
"308","10","7296",39
"309","10","7313",113
"310","10","7324",16
"311","10","7331",1
"312","10","7333",381
"313","10","7336",29
"314","10","7361",49
"315","10","7363",6
"316","10","7371",160
"317","10","7572",84
"318","10","7577",4
"319","10","7583",24
"320","10","7602",23
"321","10","7628",5891
"322","12","4471",15
"323","12","4527",129
"324","12","4691",58
"325","12","4724",123
"326","12","4744",15
"327","12","4757",69
"328","12","4793",302
"329","12","4796",21
"330","12","4802",105
"331","12","4806",98
