"Sample","taxid","Seqs_pr_taxon","Total_seqs","Prcnt_seqs"
"1","Epilobium canum",15363,69748,22.0264380340655
"1","Agastache pallidiflora",10216,69748,14.6470149681711
"1","Mertensia fusiformis",3888,69748,5.57435338647703
"1","Mertensia ciliata",3584,69748,5.13849859494179
"1","Erigeron grandiflorus",3523,69748,5.05104089006136
"1","Taraxacum officinale",2819,69748,4.04169295176923
"1","Pseudognaphalium attenuatum",2765,69748,3.96427137695705
"1","Cirsium parryi",2458,69748,3.52411538682113
"1","Lupinus sericeus",1864,69748,2.67247806388714
"1","Dasiphora fruticosa",1691,69748,2.42444227791478
"1","Lupinus argenteus",1603,69748,2.29827378562826
"1","Symphyotrichum foliaceum",1495,69748,2.1434306360039
"1","Cynoglossum pringlei",1168,69748,1.67459998853014
"1","Helianthella quinquenervis",1042,69748,1.49394964730171
"1","Delphinium nuttallianum",958,69748,1.37351608648277
"10","Parnassia palustris",5,32,15.625
"10","Delphinium nuttallianum",4,32,12.5
"10","Lupinus argenteus",4,32,12.5
"10","Mertensia ciliata",3,32,9.375
"10","Delphinium barbeyi",3,32,9.375
"10","Lupinus sericeus",2,32,6.25
"10","Hydrophyllum canadense",2,32,6.25
"10","Hydrophyllum fendleri",2,32,6.25
"10","Mertensia fusiformis",1,32,3.125
"10","Symphyotrichum foliaceum",1,32,3.125
"10","Cirsium parryi",1,32,3.125
"10","Taraxacum officinale",1,32,3.125
"10","Helianthella quinquenervis",1,32,3.125
"10","Heterotheca villosa",1,32,3.125
"10","Erigeron grandiflorus",1,32,3.125
"11","Delphinium barbeyi",38912,66752,58.2933844678811
"11","Delphinium nuttallianum",11475,66752,17.1904961649089
"11","Delphinium gracile",6116,66752,9.16227229146692
"11","Viola odorata",3796,66752,5.68672099712368
"11","Trollius europaeus",552,66752,0.826941514860978
"11","Caltha palustris",525,66752,0.786493288590604
"11","Potentilla pulcherrima",498,66752,0.74604506232023
"11","Lithophragma parviflorum",482,66752,0.722075743048897
"11","Aquilegia ecalcarata",367,66752,0.549796260786194
"11","Thalictrum tuberosum",275,66752,0.411972674976031
"11","Arenaria globiflora",271,66752,0.405980345158197
"11","Cynoglossum amplifolium",249,66752,0.373022531160115
"11","Corydalis aitchisonii",245,66752,0.367030201342282
"11","Dasiphora fruticosa",202,66752,0.302612655800575
"11","Lupinus sericeus",191,66752,0.286133748801534
"12","Delphinium barbeyi",5159,11976,43.0778223112892
"12","Delphinium nuttallianum",3219,11976,26.8787575150301
"12","Delphinium gracile",1652,11976,13.7942551770207
"12","Taraxacum officinale",430,11976,3.59051436205745
"12","Trollius europaeus",166,11976,1.38610554442218
"12","Dasiphora fruticosa",150,11976,1.25250501002004
"12","Caltha palustris",147,11976,1.22745490981964
"12","Parnassia palustris",119,11976,0.993653974615898
"12","Aquilegia ecalcarata",96,11976,0.801603206412826
"12","Taraxacum cucullatum",85,11976,0.709752839011356
"12","Thalictrum tuberosum",61,11976,0.50935203740815
"12","Corydalis aitchisonii",59,11976,0.492651970607882
"12","Thalictrum thalictroides",54,11976,0.450901803607214
"12","Orthilia secunda",45,11976,0.375751503006012
"12","Helianthella quinquenervis",39,11976,0.32565130260521
"13","Delphinium barbeyi",24322,54192,44.8811632713316
"13","Delphinium nuttallianum",14397,54192,26.5666519043401
"13","Delphinium gracile",8440,54192,15.5742545025096
"13","Trollius europaeus",947,54192,1.74749040448775
"13","Caltha palustris",593,54192,1.0942574549749
"13","Taraxacum officinale",464,54192,0.856214939474461
"13","Aquilegia ecalcarata",411,54192,0.758414526129318
"13","Parnassia palustris",364,54192,0.671685857691172
"13","Thalictrum tuberosum",328,54192,0.605255388249188
"13","Dasiphora fruticosa",275,54192,0.507454974904045
"13","Thalictrum thalictroides",209,54192,0.385665780927074
"13","Mertensia fusiformis",208,54192,0.383820490109241
"13","Lupinus sericeus",201,54192,0.370903454384411
"13","Corydalis aitchisonii",160,54192,0.295246530853262
"13","Erigeron grandiflorus",158,54192,0.291555949217597
"14","Delphinium barbeyi",171592,388214,44.200363716919
"14","Delphinium nuttallianum",108988,388214,28.0742064943562
"14","Delphinium gracile",52942,388214,13.6373237441205
"14","Taraxacum officinale",8448,388214,2.17611935684957
"14","Trollius europaeus",6343,388214,1.63389264683911
"14","Caltha palustris",4126,388214,1.0628158695977
"14","Thalictrum tuberosum",2912,388214,0.750101748004966
"14","Aquilegia ecalcarata",2618,388214,0.674370321523696
"14","Hydrophyllum capitatum",2335,388214,0.601472383788323
"14","Thalictrum thalictroides",1921,388214,0.494830170988166
"14","Taraxacum cucullatum",1772,388214,0.45644927797555
"14","Dasiphora fruticosa",1464,388214,0.377111593090409
"14","Anemone chinensis",1346,388214,0.346715986543504
"14","Viola odorata",1023,388214,0.263514453368503
"14","Actaea heracleifolia",967,388214,0.249089419753023
"15","Delphinium barbeyi",25683,58001,44.2802710298098
"15","Delphinium nuttallianum",16430,58001,28.3270978086585
"15","Delphinium gracile",7556,58001,13.0273615972138
"15","Trollius europaeus",1288,58001,2.22065136807986
"15","Parnassia palustris",713,58001,1.22928915018707
"15","Thalictrum tuberosum",540,58001,0.931018430716712
"15","Caltha palustris",459,58001,0.791365666109205
"15","Thalictrum thalictroides",329,58001,0.567231599455182
"15","Hydrophyllum capitatum",313,58001,0.539645868174687
"15","Lupinus argenteus",295,58001,0.50861192048413
"15","Dasiphora fruticosa",285,58001,0.49137083843382
"15","Anemone chinensis",269,58001,0.463785107153325
