"event","metric","DOY","taxon","sample_size","frst_hrb","lst_hrb","est_duration"
"estimate","onset",111,"Acer glabrum",13,155,233,141
"estimate","tenth",140,"Acer glabrum",13,155,233,141
"estimate","fifty",188,"Acer glabrum",13,155,233,141
"estimate","ninety",224,"Acer glabrum",13,155,233,141
"estimate","end",252,"Acer glabrum",13,155,233,141
"low_ci","onset",88,"Acer glabrum",13,155,233,141
"low_ci","tenth",131,"Acer glabrum",13,155,233,141
"low_ci","fifty",175,"Acer glabrum",13,155,233,141
"low_ci","ninety",202,"Acer glabrum",13,155,233,141
"low_ci","end",216,"Acer glabrum",13,155,233,141
"high_ci","onset",129,"Acer glabrum",13,155,233,141
"high_ci","tenth",159,"Acer glabrum",13,155,233,141
"high_ci","fifty",200,"Acer glabrum",13,155,233,141
"high_ci","ninety",233,"Acer glabrum",13,155,233,141
"high_ci","end",259,"Acer glabrum",13,155,233,141
"estimate","onset",162,"Achillea millefolium",49,175,228,70
"estimate","tenth",184,"Achillea millefolium",49,175,228,70
"estimate","fifty",207,"Achillea millefolium",49,175,228,70
"estimate","ninety",222,"Achillea millefolium",49,175,228,70
"estimate","end",232,"Achillea millefolium",49,175,228,70
"low_ci","onset",150,"Achillea millefolium",49,175,228,70
"low_ci","tenth",178,"Achillea millefolium",49,175,228,70
"low_ci","fifty",203,"Achillea millefolium",49,175,228,70
"low_ci","ninety",219,"Achillea millefolium",49,175,228,70
"low_ci","end",228,"Achillea millefolium",49,175,228,70
"high_ci","onset",169,"Achillea millefolium",49,175,228,70
"high_ci","tenth",190,"Achillea millefolium",49,175,228,70
"high_ci","fifty",210,"Achillea millefolium",49,175,228,70
"high_ci","ninety",225,"Achillea millefolium",49,175,228,70
"high_ci","end",235,"Achillea millefolium",49,175,228,70
"estimate","onset",156,"Aconitum columbianum",53,174,226,73
"estimate","tenth",184,"Aconitum columbianum",53,174,226,73
"estimate","fifty",206,"Aconitum columbianum",53,174,226,73
"estimate","ninety",220,"Aconitum columbianum",53,174,226,73
"estimate","end",229,"Aconitum columbianum",53,174,226,73
"low_ci","onset",155,"Aconitum columbianum",53,174,226,73
"low_ci","tenth",180,"Aconitum columbianum",53,174,226,73
"low_ci","fifty",202,"Aconitum columbianum",53,174,226,73
"low_ci","ninety",216,"Aconitum columbianum",53,174,226,73
"low_ci","end",225,"Aconitum columbianum",53,174,226,73
"high_ci","onset",167,"Aconitum columbianum",53,174,226,73
"high_ci","tenth",188,"Aconitum columbianum",53,174,226,73
"high_ci","fifty",208,"Aconitum columbianum",53,174,226,73
"high_ci","ninety",223,"Aconitum columbianum",53,174,226,73
"high_ci","end",233,"Aconitum columbianum",53,174,226,73
"estimate","onset",115,"Actaea rubra",16,155,230,121
"estimate","tenth",144,"Actaea rubra",16,155,230,121
"estimate","fifty",190,"Actaea rubra",16,155,230,121
"estimate","ninety",220,"Actaea rubra",16,155,230,121
"estimate","end",236,"Actaea rubra",16,155,230,121
"low_ci","onset",98,"Actaea rubra",16,155,230,121
"low_ci","tenth",139,"Actaea rubra",16,155,230,121
"low_ci","fifty",179,"Actaea rubra",16,155,230,121
"low_ci","ninety",204,"Actaea rubra",16,155,230,121
"low_ci","end",216,"Actaea rubra",16,155,230,121
"high_ci","onset",130,"Actaea rubra",16,155,230,121
"high_ci","tenth",163,"Actaea rubra",16,155,230,121
"high_ci","fifty",200,"Actaea rubra",16,155,230,121
"high_ci","ninety",229,"Actaea rubra",16,155,230,121
"high_ci","end",250,"Actaea rubra",16,155,230,121
"estimate","onset",127,"Adenolinum lewisii",11,173,224,100
"estimate","tenth",165,"Adenolinum lewisii",11,173,224,100
"estimate","fifty",191,"Adenolinum lewisii",11,173,224,100
"estimate","ninety",214,"Adenolinum lewisii",11,173,224,100
"estimate","end",227,"Adenolinum lewisii",11,173,224,100
"low_ci","onset",120,"Adenolinum lewisii",11,173,224,100
"low_ci","tenth",154,"Adenolinum lewisii",11,173,224,100
"low_ci","fifty",183,"Adenolinum lewisii",11,173,224,100
"low_ci","ninety",196,"Adenolinum lewisii",11,173,224,100
"low_ci","end",201,"Adenolinum lewisii",11,173,224,100
"high_ci","onset",160,"Adenolinum lewisii",11,173,224,100
"high_ci","tenth",176,"Adenolinum lewisii",11,173,224,100
"high_ci","fifty",200,"Adenolinum lewisii",11,173,224,100
"high_ci","ninety",223,"Adenolinum lewisii",11,173,224,100
"high_ci","end",239,"Adenolinum lewisii",11,173,224,100
"estimate","onset",157,"Adoxa moschatellina",11,177,211,54
"estimate","tenth",177,"Adoxa moschatellina",11,177,211,54
"estimate","fifty",192,"Adoxa moschatellina",11,177,211,54
"estimate","ninety",204,"Adoxa moschatellina",11,177,211,54
"estimate","end",211,"Adoxa moschatellina",11,177,211,54
"low_ci","onset",146,"Adoxa moschatellina",11,177,211,54
"low_ci","tenth",169,"Adoxa moschatellina",11,177,211,54
"low_ci","fifty",188,"Adoxa moschatellina",11,177,211,54
"low_ci","ninety",196,"Adoxa moschatellina",11,177,211,54
"low_ci","end",201,"Adoxa moschatellina",11,177,211,54
"high_ci","onset",172,"Adoxa moschatellina",11,177,211,54
"high_ci","tenth",186,"Adoxa moschatellina",11,177,211,54
"high_ci","fifty",198,"Adoxa moschatellina",11,177,211,54
"high_ci","ninety",211,"Adoxa moschatellina",11,177,211,54
"high_ci","end",219,"Adoxa moschatellina",11,177,211,54
"estimate","onset",132,"Agastache urticifolia",18,178,234,111
"estimate","tenth",175,"Agastache urticifolia",18,178,234,111
"estimate","fifty",203,"Agastache urticifolia",18,178,234,111
"estimate","ninety",227,"Agastache urticifolia",18,178,234,111
"estimate","end",243,"Agastache urticifolia",18,178,234,111
"low_ci","onset",130,"Agastache urticifolia",18,178,234,111
"low_ci","tenth",167,"Agastache urticifolia",18,178,234,111
"low_ci","fifty",198,"Agastache urticifolia",18,178,234,111
"low_ci","ninety",213,"Agastache urticifolia",18,178,234,111
"low_ci","end",227,"Agastache urticifolia",18,178,234,111
"high_ci","onset",155,"Agastache urticifolia",18,178,234,111
"high_ci","tenth",182,"Agastache urticifolia",18,178,234,111
"high_ci","fifty",211,"Agastache urticifolia",18,178,234,111
"high_ci","ninety",234,"Agastache urticifolia",18,178,234,111
"high_ci","end",249,"Agastache urticifolia",18,178,234,111
"estimate","onset",151,"Agoseris aurantiaca",36,160,225,79
"estimate","tenth",182,"Agoseris aurantiaca",36,160,225,79
"estimate","fifty",205,"Agoseris aurantiaca",36,160,225,79
"estimate","ninety",221,"Agoseris aurantiaca",36,160,225,79
"estimate","end",230,"Agoseris aurantiaca",36,160,225,79
"low_ci","onset",144,"Agoseris aurantiaca",36,160,225,79
"low_ci","tenth",174,"Agoseris aurantiaca",36,160,225,79
"low_ci","fifty",199,"Agoseris aurantiaca",36,160,225,79
"low_ci","ninety",217,"Agoseris aurantiaca",36,160,225,79
"low_ci","end",226,"Agoseris aurantiaca",36,160,225,79
"high_ci","onset",166,"Agoseris aurantiaca",36,160,225,79
"high_ci","tenth",187,"Agoseris aurantiaca",36,160,225,79
"high_ci","fifty",208,"Agoseris aurantiaca",36,160,225,79
"high_ci","ninety",224,"Agoseris aurantiaca",36,160,225,79
"high_ci","end",234,"Agoseris aurantiaca",36,160,225,79
"estimate","onset",154,"Agoseris glauca",56,151,231,82
"estimate","tenth",182,"Agoseris glauca",56,151,231,82
"estimate","fifty",209,"Agoseris glauca",56,151,231,82
"estimate","ninety",225,"Agoseris glauca",56,151,231,82
"estimate","end",236,"Agoseris glauca",56,151,231,82
"low_ci","onset",139,"Agoseris glauca",56,151,231,82
"low_ci","tenth",173,"Agoseris glauca",56,151,231,82
"low_ci","fifty",202,"Agoseris glauca",56,151,231,82
"low_ci","ninety",222,"Agoseris glauca",56,151,231,82
"low_ci","end",232,"Agoseris glauca",56,151,231,82
"high_ci","onset",167,"Agoseris glauca",56,151,231,82
"high_ci","tenth",190,"Agoseris glauca",56,151,231,82
"high_ci","fifty",211,"Agoseris glauca",56,151,231,82
"high_ci","ninety",228,"Agoseris glauca",56,151,231,82
"high_ci","end",241,"Agoseris glauca",56,151,231,82
"estimate","onset",150,"Allium geyeri",22,163,203,59
"estimate","tenth",169,"Allium geyeri",22,163,203,59
"estimate","fifty",189,"Allium geyeri",22,163,203,59
"estimate","ninety",202,"Allium geyeri",22,163,203,59
"estimate","end",209,"Allium geyeri",22,163,203,59
"low_ci","onset",141,"Allium geyeri",22,163,203,59
"low_ci","tenth",164,"Allium geyeri",22,163,203,59
"low_ci","fifty",185,"Allium geyeri",22,163,203,59
"low_ci","ninety",198,"Allium geyeri",22,163,203,59
"low_ci","end",204,"Allium geyeri",22,163,203,59
"high_ci","onset",162,"Allium geyeri",22,163,203,59
"high_ci","tenth",180,"Allium geyeri",22,163,203,59
"high_ci","fifty",193,"Allium geyeri",22,163,203,59
"high_ci","ninety",204,"Allium geyeri",22,163,203,59
"high_ci","end",212,"Allium geyeri",22,163,203,59
"estimate","onset",125,"Alnus incana",19,155,249,127
"estimate","tenth",162,"Alnus incana",19,155,249,127
"estimate","fifty",203,"Alnus incana",19,155,249,127
"estimate","ninety",232,"Alnus incana",19,155,249,127
"estimate","end",252,"Alnus incana",19,155,249,127
"low_ci","onset",107,"Alnus incana",19,155,249,127
"low_ci","tenth",148,"Alnus incana",19,155,249,127
"low_ci","fifty",193,"Alnus incana",19,155,249,127
"low_ci","ninety",221,"Alnus incana",19,155,249,127
"low_ci","end",235,"Alnus incana",19,155,249,127
"high_ci","onset",153,"Alnus incana",19,155,249,127
"high_ci","tenth",181,"Alnus incana",19,155,249,127
"high_ci","fifty",213,"Alnus incana",19,155,249,127
"high_ci","ninety",244,"Alnus incana",19,155,249,127
