"event","metric","DOY","taxon","sample_size","frst_hrb","lst_hrb","est_duration"
"estimate","onset",158,"Allium cernuum",15,190,231,77
"estimate","tenth",178,"Allium cernuum",15,190,231,77
"estimate","fifty",206,"Allium cernuum",15,190,231,77
"estimate","ninety",222,"Allium cernuum",15,190,231,77
"estimate","end",235,"Allium cernuum",15,190,231,77
"low_ci","onset",148,"Allium cernuum",15,190,231,77
"low_ci","tenth",177,"Allium cernuum",15,190,231,77
"low_ci","fifty",200,"Allium cernuum",15,190,231,77
"low_ci","ninety",215,"Allium cernuum",15,190,231,77
"low_ci","end",218,"Allium cernuum",15,190,231,77
"high_ci","onset",173,"Allium cernuum",15,190,231,77
"high_ci","tenth",191,"Allium cernuum",15,190,231,77
"high_ci","fifty",211,"Allium cernuum",15,190,231,77
"high_ci","ninety",229,"Allium cernuum",15,190,231,77
"high_ci","end",241,"Allium cernuum",15,190,231,77
"estimate","onset",70,"Amelanchier utahensis",11,153,272,207
"estimate","tenth",118,"Amelanchier utahensis",11,153,272,207
"estimate","fifty",188,"Amelanchier utahensis",11,153,272,207
"estimate","ninety",247,"Amelanchier utahensis",11,153,272,207
"estimate","end",277,"Amelanchier utahensis",11,153,272,207
"low_ci","onset",59,"Amelanchier utahensis",11,153,272,207
"low_ci","tenth",108,"Amelanchier utahensis",11,153,272,207
"low_ci","fifty",170,"Amelanchier utahensis",11,153,272,207
"low_ci","ninety",202,"Amelanchier utahensis",11,153,272,207
"low_ci","end",221,"Amelanchier utahensis",11,153,272,207
"high_ci","onset",111,"Amelanchier utahensis",11,153,272,207
"high_ci","tenth",148,"Amelanchier utahensis",11,153,272,207
"high_ci","fifty",213,"Amelanchier utahensis",11,153,272,207
"high_ci","ninety",274,"Amelanchier utahensis",11,153,272,207
"high_ci","end",305,"Amelanchier utahensis",11,153,272,207
"estimate","onset",150,"Angelica ampla",10,191,237,93
"estimate","tenth",186,"Angelica ampla",10,191,237,93
"estimate","fifty",215,"Angelica ampla",10,191,237,93
"estimate","ninety",232,"Angelica ampla",10,191,237,93
"estimate","end",243,"Angelica ampla",10,191,237,93
"low_ci","onset",142,"Angelica ampla",10,191,237,93
"low_ci","tenth",175,"Angelica ampla",10,191,237,93
"low_ci","fifty",204,"Angelica ampla",10,191,237,93
"low_ci","ninety",218,"Angelica ampla",10,191,237,93
"low_ci","end",225,"Angelica ampla",10,191,237,93
"high_ci","onset",180,"Angelica ampla",10,191,237,93
"high_ci","tenth",199,"Angelica ampla",10,191,237,93
"high_ci","fifty",221,"Angelica ampla",10,191,237,93
"high_ci","ninety",239,"Angelica ampla",10,191,237,93
"high_ci","end",252,"Angelica ampla",10,191,237,93
"estimate","onset",143,"Apocynum androsaemifolium",13,180,219,81
"estimate","tenth",176,"Apocynum androsaemifolium",13,180,219,81
"estimate","fifty",199,"Apocynum androsaemifolium",13,180,219,81
"estimate","ninety",215,"Apocynum androsaemifolium",13,180,219,81
"estimate","end",224,"Apocynum androsaemifolium",13,180,219,81
"low_ci","onset",141,"Apocynum androsaemifolium",13,180,219,81
"low_ci","tenth",168,"Apocynum androsaemifolium",13,180,219,81
"low_ci","fifty",192,"Apocynum androsaemifolium",13,180,219,81
"low_ci","ninety",206,"Apocynum androsaemifolium",13,180,219,81
"low_ci","end",212,"Apocynum androsaemifolium",13,180,219,81
"high_ci","onset",166,"Apocynum androsaemifolium",13,180,219,81
"high_ci","tenth",188,"Apocynum androsaemifolium",13,180,219,81
"high_ci","fifty",205,"Apocynum androsaemifolium",13,180,219,81
"high_ci","ninety",221,"Apocynum androsaemifolium",13,180,219,81
"high_ci","end",230,"Apocynum androsaemifolium",13,180,219,81
"estimate","onset",121,"Aquilegia barnebyi",12,156,215,98
"estimate","tenth",153,"Aquilegia barnebyi",12,156,215,98
"estimate","fifty",184,"Aquilegia barnebyi",12,156,215,98
"estimate","ninety",204,"Aquilegia barnebyi",12,156,215,98
"estimate","end",219,"Aquilegia barnebyi",12,156,215,98
"low_ci","onset",111,"Aquilegia barnebyi",12,156,215,98
"low_ci","tenth",145,"Aquilegia barnebyi",12,156,215,98
"low_ci","fifty",176,"Aquilegia barnebyi",12,156,215,98
"low_ci","ninety",189,"Aquilegia barnebyi",12,156,215,98
"low_ci","end",195,"Aquilegia barnebyi",12,156,215,98
"high_ci","onset",150,"Aquilegia barnebyi",12,156,215,98
"high_ci","tenth",167,"Aquilegia barnebyi",12,156,215,98
"high_ci","fifty",194,"Aquilegia barnebyi",12,156,215,98
"high_ci","ninety",216,"Aquilegia barnebyi",12,156,215,98
"high_ci","end",232,"Aquilegia barnebyi",12,156,215,98
"estimate","onset",171,"Astragalus tenellus",21,184,231,64
"estimate","tenth",191,"Astragalus tenellus",21,184,231,64
"estimate","fifty",213,"Astragalus tenellus",21,184,231,64
"estimate","ninety",228,"Astragalus tenellus",21,184,231,64
"estimate","end",235,"Astragalus tenellus",21,184,231,64
"low_ci","onset",155,"Astragalus tenellus",21,184,231,64
"low_ci","tenth",180,"Astragalus tenellus",21,184,231,64
"low_ci","fifty",206,"Astragalus tenellus",21,184,231,64
"low_ci","ninety",223,"Astragalus tenellus",21,184,231,64
"low_ci","end",230,"Astragalus tenellus",21,184,231,64
"high_ci","onset",181,"Astragalus tenellus",21,184,231,64
"high_ci","tenth",200,"Astragalus tenellus",21,184,231,64
"high_ci","fifty",217,"Astragalus tenellus",21,184,231,64
"high_ci","ninety",230,"Astragalus tenellus",21,184,231,64
"high_ci","end",240,"Astragalus tenellus",21,184,231,64
"estimate","onset",178,"Chenopodium atrovirens",11,203,240,69
"estimate","tenth",207,"Chenopodium atrovirens",11,203,240,69
"estimate","fifty",225,"Chenopodium atrovirens",11,203,240,69
"estimate","ninety",238,"Chenopodium atrovirens",11,203,240,69
"estimate","end",247,"Chenopodium atrovirens",11,203,240,69
"low_ci","onset",173,"Chenopodium atrovirens",11,203,240,69
"low_ci","tenth",198,"Chenopodium atrovirens",11,203,240,69
"low_ci","fifty",218,"Chenopodium atrovirens",11,203,240,69
"low_ci","ninety",228,"Chenopodium atrovirens",11,203,240,69
"low_ci","end",235,"Chenopodium atrovirens",11,203,240,69
"high_ci","onset",199,"Chenopodium atrovirens",11,203,240,69
"high_ci","tenth",216,"Chenopodium atrovirens",11,203,240,69
"high_ci","fifty",230,"Chenopodium atrovirens",11,203,240,69
"high_ci","ninety",242,"Chenopodium atrovirens",11,203,240,69
"high_ci","end",250,"Chenopodium atrovirens",11,203,240,69
"estimate","onset",123,"Collinsia parviflora",11,151,176,53
"estimate","tenth",143,"Collinsia parviflora",11,151,176,53
"estimate","fifty",156,"Collinsia parviflora",11,151,176,53
"estimate","ninety",170,"Collinsia parviflora",11,151,176,53
"estimate","end",176,"Collinsia parviflora",11,151,176,53
"low_ci","onset",120,"Collinsia parviflora",11,151,176,53
"low_ci","tenth",140,"Collinsia parviflora",11,151,176,53
"low_ci","fifty",156,"Collinsia parviflora",11,151,176,53
"low_ci","ninety",160,"Collinsia parviflora",11,151,176,53
"low_ci","end",163,"Collinsia parviflora",11,151,176,53
"high_ci","onset",144,"Collinsia parviflora",11,151,176,53
"high_ci","tenth",151,"Collinsia parviflora",11,151,176,53
"high_ci","fifty",163,"Collinsia parviflora",11,151,176,53
"high_ci","ninety",175,"Collinsia parviflora",11,151,176,53
"high_ci","end",183,"Collinsia parviflora",11,151,176,53
"estimate","onset",143,"Epilobium brachycarpum",15,174,261,123
"estimate","tenth",185,"Epilobium brachycarpum",15,174,261,123
"estimate","fifty",221,"Epilobium brachycarpum",15,174,261,123
"estimate","ninety",255,"Epilobium brachycarpum",15,174,261,123
"estimate","end",266,"Epilobium brachycarpum",15,174,261,123
"low_ci","onset",124,"Epilobium brachycarpum",15,174,261,123
"low_ci","tenth",169,"Epilobium brachycarpum",15,174,261,123
"low_ci","fifty",212,"Epilobium brachycarpum",15,174,261,123
"low_ci","ninety",238,"Epilobium brachycarpum",15,174,261,123
"low_ci","end",248,"Epilobium brachycarpum",15,174,261,123
"high_ci","onset",174,"Epilobium brachycarpum",15,174,261,123
"high_ci","tenth",207,"Epilobium brachycarpum",15,174,261,123
"high_ci","fifty",234,"Epilobium brachycarpum",15,174,261,123
"high_ci","ninety",261,"Epilobium brachycarpum",15,174,261,123
"high_ci","end",279,"Epilobium brachycarpum",15,174,261,123
"estimate","onset",183,"Ericameria nauseosa",16,209,248,67
"estimate","tenth",205,"Ericameria nauseosa",16,209,248,67
"estimate","fifty",226,"Ericameria nauseosa",16,209,248,67
"estimate","ninety",241,"Ericameria nauseosa",16,209,248,67
"estimate","end",250,"Ericameria nauseosa",16,209,248,67
"low_ci","onset",173,"Ericameria nauseosa",16,209,248,67
"low_ci","tenth",199,"Ericameria nauseosa",16,209,248,67
"low_ci","fifty",222,"Ericameria nauseosa",16,209,248,67
