"","species","plant.species","bySpp","total"
"1","bifarius","Mertensia.fusiformis",61,149
"2","flavifrons","Mertensia.fusiformis",19,184
"3","appositus","Delphinium.nuttallianum",75,184
"4","flavifrons","Delphinium.nuttallianum",27,184
"5","flavifrons","Distegia.involucrata",1,184
"6","flavifrons","Hydrophyllum.fendleri",61,184
"7","appositus","Lathyrus.leucanthus",7,184
"8","flavifrons","Mertensia.ciliata",12,184
"9","nevadensis","Hydrophyllum.fendleri",3,28
"10","appositus","Aquilegia.coerulea",1,184
"11","appositus","Hydrophyllum.fendleri",4,184
"12","appositus","Vicia.americana",13,184
"13","rufocinctus","Hydrophyllum.fendleri",16,70
"14","appositus","Delphinium.barbeyi",49,184
"15","flavifrons","Helianthella.quinquenervis",2,184
"16","flavifrons","Vicia.americana",16,184
"17","rufocinctus","Dugaldia.hoopesii",2,70
"18","mixtus","Dugaldia.hoopesii",1,7
"19","mixtus","Vicia.americana",1,7
"20","bifarius","Ligularia.bigelovii",1,149
"21","bifarius","Claytonia.lanceolata",4,149
"22","bifarius","Erythronium.grandiflorum",2,149
"23","bifarius","Hydrophyllum.capitatum",8,149
"24","californicus","Mertensia.fusiformis",13,69
"25","bifarius","Taraxacum.officinale",22,149
"26","californicus","Delphinium.nuttallianum",35,69
"27","californicus","Erythronium.grandiflorum",2,69
"28","flavifrons","Hydrophyllum.capitatum",4,184
"29","rufocinctus","Mertensia.fusiformis",6,70
"30","californicus","Hydrophyllum.capitatum",1,69
"31","rufocinctus","Hydrophyllum.capitatum",1,70
"32","unknown","Viola.praemorsa",1,14
"33","bifarius","Erythrocoma.triflora",1,149
"34","bifarius","Hydrophyllum.fendleri",13,149
"35","nevadensis","Delphinium.nuttallianum",4,28
"36","unknown","Valeriana.occidentalis",1,14
"37","bifarius","Frasera.speciosa",3,149
"38","rufocinctus","Frasera.speciosa",11,70
"39","rufocinctus","Lupinus.bakeri",19,70
"40","unknown","Lupinus.bakeri",2,14
"41","appositus","Frasera.speciosa",11,184
"42","appositus","Lupinus.bakeri",6,184
"43","californicus","Hydrophyllum.fendleri",1,69
"44","californicus","Pedicularis.procera",1,69
"45","flavifrons","Lupinus.bakeri",6,184
"46","appositus","Helianthella.quinquenervis",5,184
"47","bifarius","Helianthella.quinquenervis",12,149
"48","bifarius","Lupinus.bakeri",8,149
"49","californicus","Delphinium.barbeyi",5,69
"50","flavifrons","Delphinium.barbeyi",19,184
"51","insularis","Helianthella.quinquenervis",7,10
"52","melanopygus","Helianthella.quinquenervis",1,1
"53","appositus","Pedicularis.bracteosa",1,184
"54","californicus","Lupinus.bakeri",3,69
"55","nevadensis","Delphinium.barbeyi",7,28
"56","rufocinctus","Helianthella.quinquenervis",5,70
"57","appositus","Calochortus.gunnisonii",1,184
"58","appositus","Erigeron.speciosus",1,184
"59","appositus","Pedicularis.procera",2,184
"60","nevadensis","Mertensia.fusiformis",1,28
"61","appositus","Mertensia.fusiformis",1,184
"62","californicus","Lathyrus.leucanthus",6,69
"63","californicus","Taraxacum.officinale",1,69
"64","insularis","Taraxacum.officinale",1,10
"65","mixtus","Hydrophyllum.capitatum",1,7
"66","rufocinctus","Taraxacum.officinale",2,70
"67","bifarius","Senecio.integerrimus",4,149
"68","centralis","Hydrophyllum.fendleri",2,2
"69","flavifrons","Frasera.speciosa",1,184
"70","nevadensis","Frasera.speciosa",9,28
"71","unknown","Hydrophyllum.fendleri",3,14
"72","unknown","Senecio.integerrimus",1,14
"73","nevadensis","Lathyrus.leucanthus",1,28
"74","nevadensis","Lupinus.bakeri",1,28
"75","bifarius","Cirsium.parryi",1,149
"76","bifarius","Salix.sp",2,149
"77","flavifrons","Erythronium.grandiflorum",1,184
"78","unknown","Taraxacum.officinale",4,14
"79","bifarius","Mertensia.ciliata",2,149
"80","rufocinctus","Valeriana.occidentalis",2,70
"81","appositus","Adenolinum.lewisii",4,184
"82","bifarius","Dodecatheon.pulchellum",3,149
"83","insularis","Hydrophyllum.fendleri",1,10
"84","sylvicola","Dodecatheon.pulchellum",2,4
"85","californicus","Vicia.americana",1,69
"86","flavifrons","Aconitum.columbianum",8,184
"87","nevadensis","Mertensia.ciliata",2,28
"88","sylvicola","Mertensia.fusiformis",2,4
"89","rufocinctus","Osmorhiza.occidentalis",1,70
"90","flavifrons","Thalictrum.fendleri",2,184
"91","appositus","Aconitum.columbianum",2,184
"92","bifarius","Dugaldia.hoopesii",2,149
"93","insularis","Wyethia.arizonica",1,10
"94","appositus","Agastache.urticifolia",1,184
"95","flavifrons","Taraxacum.officinale",1,184
"96","flavifrons","Potentilla.pulcherrima",2,184
"97","mixtus","Hydrophyllum.fendleri",4,7
"98","unknown","Mertensia.ciliata",2,14
"99","rufocinctus","Mertensia.ciliata",4,70
"100","kirbiellus","Mertensia.ciliata",1,1
"101","flavifrons","Dugaldia.hoopesii",1,184
"102","flavifrons","Cirsium.parryi",1,184
"103","rufocinctus","Vicia.americana",1,70
